"Gene"	"Ramos_1O2_NoCyclo_3"	"Ramos_1O2_PlusCyclo_1"	"Ramos_1O2_NoCyclo_1"	"Ramos_19O2_NoCyclo_3"	"Ramos_19O2_NoCyclo_2"	"Ramos_1O2_PlusCyclo_2"	"Ramos_1O2_NoCyclo_2"	"Ramos_1O2_PlusCyclo_3"	"Ramos_19O2_NoCyclo_1"
"DDX11L1"	0.926530289978249	0.486362024812987	0.705514489851455	0.687267122737236	0.983538780315428	0.694808505691471	0.576897593996964	0.476988009542631	1.14949728561119
"WASH7P"	3.94590621205052	3.97268835722796	3.84829040044942	4.24342334184236	3.91936563292075	3.83600220464835	3.42213985509939	4.05947581111088	3.96535854175378
"MIR6859-1"	0.257981171499655	0.12312400897723	0.109481938961693	0.166131923065151	0.16628314996404	0.114352731963867	0.105190800928855	0.177103414359427	0.239396377447446
"RP11-34P13.3"	0.108787615318173	0.180957400444913	0.109481938961693	0.166131923065151	0	0	0.0535539064300856	0	0.0636750332449749
"RP11-34P13.7"	0.593679704208495	0.65909254737523	0.519666893752303	1.12418171048361	0.723811678578586	0.801078740682593	0.539848483211547	0.762642421708011	0.784080579448851
"RP11-34P13.10"	0.769682962269495	0.884684612277704	0.558801092113053	0.758383725720107	0.687793946297244	0.411379712395534	0.422625778119386	0.799197117018057	0.44466418000364
"RP11-34P13.15"	1.14664608634368	1.04899466274015	1.1260553228961	1.43757137333412	1.04177009775638	0.801078740682593	0.716254695193168	0.93680281359414	1.02706001865224
"RP11-34P13.16"	0.593679704208495	0.617809781732964	0.705514489851455	0.612462284153831	0.723811678578586	0.411379712395534	0.24985984733676	0.686631254539182	0.665957162398277
"RP11-34P13.14"	0.0554189673520599	0.0628750785297338	0.161257136700368	0.217513772049154	0.267363403295608	0	0.0535539064300856	0	0.124658089482996
"RP11-34P13.13"	1.69250208493223	1.60837608114264	1.40906829497029	1.71290099543769	1.39443145893326	1.2889859006398	1.26260020418689	1.5651945883552	1.64194317806773
